國文,英文,數學,社會,自然
7,8,8,7,14
7,10,9,14,11
6,13,9,11,6
10,15,13,7,10
9,13,13,7,11
6,7,14,13,12
9,14,11,12,15
15,8,9,13,14
12,10,6,11,15
13,14,9,10,14
13,6,6,11,7
7,14,14,7,7
12,14,9,7,8
9,10,10,12,8
9,10,15,9,14
7,6,10,13,7
15,9,11,7,8
8,15,6,14,7
10,8,11,7,9
14,14,9,7,13
14,15,15,8,9
12,15,6,6,6
6,9,11,10,13
8,10,12,6,12
7,13,13,13,14
7,14,9,14,8
10,10,8,15,8
7,13,15,11,11
12,9,15,11,14
7,13,11,13,13
8,6,11,10,6
6,13,11,11,8
7,8,14,8,13
10,13,7,9,12
14,6,8,12,6
8,14,15,6,9
11,9,8,10,6
12,10,6,13,8
9,13,6,10,12
11,10,11,13,10
10,13,10,10,8
12,7,11,9,10
6,8,6,8,12
9,15,8,13,7
8,8,11,12,15
11,12,12,15,12
10,10,10,12,12
11,14,8,14,11
12,8,7,9,6
14,13,13,10,6
10,8,10,15,11
9,8,13,10,8
15,9,14,13,6
15,14,12,12,11
11,12,13,10,6
14,14,6,11,14
9,12,10,8,13
6,7,8,13,9
13,9,9,15,12
12,9,13,11,10
10,12,9,9,14
7,9,14,15,8
14,12,7,7,12
6,6,10,14,14
6,6,6,15,15
7,12,14,14,11
8,6,15,12,13
9,12,12,8,11
14,12,13,14,12
14,11,15,9,6
9,10,15,13,13
7,8,13,13,6
9,12,9,7,15
6,9,9,15,9
14,7,13,8,13
8,15,7,12,12
13,15,10,12,6
7,13,6,13,14
7,10,13,15,13
11,9,13,13,12
6,15,6,11,8
7,6,7,15,15
11,7,6,9,12
7,8,8,9,15
6,14,14,7,7
8,7,12,12,12
8,8,8,11,7
9,8,7,10,7
6,15,13,12,10
13,15,9,6,6
11,6,9,10,15
13,13,13,13,14
14,14,10,7,7
14,9,11,12,15
10,14,8,9,15
12,9,11,15,6
13,6,11,6,12
10,15,6,14,9
10,11,12,10,7
12,7,15,13,15
